area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,18-May,Rayasandra,3,1708,3,2,75,4391.1
Super built-up  Area,Ready To Move,Thanisandra,3,1697,3,2,115,6776.66
Super built-up  Area,Ready To Move,Whitefield,4,3537,5,3,210,5937.23
Super built-up  Area,19-Mar,Hosa Road,1,615,1,1,28.29,4600
Built-up  Area,Ready To Move,Banashankari,3,1350,2,0,83,6148.15
Super built-up  Area,19-Dec,Jalahalli,2,1083,2,1,32.49,3000
Super built-up  Area,Ready To Move,Gottigere,3,1460,2,2,65,4452.05
Super built-up  Area,Ready To Move,Babusapalaya,2,1084,2,1,58,5350.55
Super built-up  Area,18-May,Bommasandra,2,1035,2,1,41.43,4002.9
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3,2400,2,1,150,6250
Super built-up  Area,Ready To Move,Hosur Road,1,460,1,1,21,4565.22
Super built-up  Area,Ready To Move,Narayanappa Layout,5,950,5,0,90,9473.68
Super built-up  Area,Ready To Move,Whitefield,2,1285,2,2,55.9,4350.19
Plot  Area,Ready To Move,Sarjapur,3,1200,3,2,78,6500
Built-up  Area,Ready To Move,Raghuvanahalli,2,1070,2,1,35,3271.03
Super built-up  Area,Ready To Move,Hegde Nagar,3,1801,3,2,140,7773.46
Super built-up  Area,18-Dec,Whitefield,3,1697,3,2,115,6776.66
Super built-up  Area,Ready To Move,AECS Layout,2,1199,2,2,65,5421.18
Super built-up  Area,Ready To Move,Iblur Village,3,2300,3,1,220,9565.22
Super built-up  Area,Ready To Move,Mysore Road,3,1340,2,3,64.31,4799.25
Super built-up  Area,Ready To Move,Marathahalli,4,3800,4,3,205,5394.74
Plot  Area,Ready To Move,Jigani,5,600,5,0,50,8333.33
Super built-up  Area,Ready To Move,Wilson Garden,2,1125,2,1,75,6666.67
Plot  Area,Ready To Move,Anandapura,2,1200,2,1,67,5583.33
Built-up  Area,Ready To Move,Subramanyapura,2,1050,2,3,41,3904.76
Built-up  Area,Ready To Move,Nagarbhavi,2,956,2,1,49,5125.52
Super built-up  Area,Ready To Move,Sarjapur,2,1000,2,2,30,3000
Built-up  Area,Ready To Move,Dooravani Nagar,3,1596,3,0,95,5952.38
Plot  Area,Ready To Move,Kumbhena Agrahara,6,1200,5,1,150,12500
Super built-up  Area,19-Jul,Kanakpura Road,2,1296,2,3,89.06,6871.91
Plot  Area,Ready To Move,NS Palya,6,1200,7,0,170,14166.67
Built-up  Area,Ready To Move,Challaghatta,3,1639,3,3,123,7504.58
Super built-up  Area,Ready To Move,Electronic City Phase II,2,1219,2,1,61.25,5024.61
Built-up  Area,Ready To Move,Uttarahalli,3,1200,3,1,50,4166.67
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1218,2,1,73,5993.43
Super built-up  Area,Ready To Move,Nyanappana Halli,2,920,2,3,37,4021.74
Super built-up  Area,Ready To Move,Yeshwanthpur,3,2559,3,2,141,5509.96
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1,525,1,1,26,4952.38
Super built-up  Area,18-Feb,Bannerghatta Road,3,1427,2,2,48.51,3399.44
Super built-up  Area,18-Apr,Kothannur,3,1270,3,2,45,3543.31
Built-up  Area,Ready To Move,Ramagondanahalli,2,920,2,3,65,7065.22
Built-up  Area,Ready To Move,Dommasandra,4,2700,3,2,68,2518.52
Super built-up  Area,Ready To Move,Indira Nagar 3rd Stage,3,1740,3,2,199,11436.78
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,1355,2,0,40,2952.03
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,1530,2,2,90,5882.35
Carpet  Area,Ready To Move,Gokula Extension,3,1372,2,1,90,6559.77
Super built-up  Area,Ready To Move,Nehru Nagar,4,2363,5,2,120,5078.29
Super built-up  Area,Ready To Move,Marathahalli,4,3895,4,3,220,5648.27
Super built-up  Area,20-Jun,Jakkur,3,1950,3,2,131,6717.95
Built-up  Area,Ready To Move,Hoysalanagar,2,885,2,3,40,4519.77
Built-up  Area,Ready To Move,Yelahanka,2,600,2,2,27,4500
Plot  Area,Ready To Move,Kumaraswami Layout,5,1270,4,1,128,10078.74
Plot  Area,Ready To Move,Vijayanagar,2,1380,2,0,225,16304.35
Super built-up  Area,Ready To Move,Kanakpura Road,2,1339,2,2,62,4630.32
Super built-up  Area,Ready To Move,Whitefield,2,1130,2,1,36,3185.84
Built-up  Area,Ready To Move,Uttarahalli,2,1085,2,2,43,3963.13
Built-up  Area,Ready To Move,Yeshwanthpur,3,1430,3,2,72,5034.97
Carpet  Area,18-Dec,Bhoganhalli,4,1451.5,4,1,121,8336.2
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,5,6200,5,0,720,11612.9
Super built-up  Area,Ready To Move,AGS Layout,3,1490,2,1,59.6,4000
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4,1650,4,0,99,6000
Super built-up  Area,Ready To Move,Bellandur,2,1286,2,2,57,4432.35
Built-up  Area,Ready To Move,KR Garden,2,925,2,2,63,6810.81
Super built-up  Area,Ready To Move,Bellandur,4,3016,4,3,230,7625.99
Built-up  Area,Ready To Move,Haralur Road,2,1000,2,2,44,4400
Super built-up  Area,Ready To Move,Whitefield,2,1215,2,2,39,3209.88
Plot  Area,Ready To Move,Kanakadasa Layout,4,1200,3,1,95,7916.67
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1336,2,2,100,7485.03
Super built-up  Area,Ready To Move,Yeshwanthpur,1,673,1,1,36.85,5475.48
Plot  Area,Ready To Move,Anandapura,2,1200,2,1,58,4833.33
Plot  Area,Ready To Move,Lingarajapuram,6,600,7,2,63,10500
Super built-up  Area,Ready To Move,Malleshwaram,3,1600,3,3,160,10000
Plot  Area,Ready To Move,Mallathahalli,2,1200,2,0,79,6583.33
Plot  Area,Ready To Move,Indira Nagar,6,2480,4,1,750,30241.94
Super built-up  Area,18-Apr,Jayamahal Extension,3,2500,3,0,270,10800
Plot  Area,Ready To Move,Devanahalli,5,2400,5,3,100,4166.67
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2,1143,2,2,65,5686.79
Super built-up  Area,Ready To Move,Kanakpura Road,2,1470,2,2,61.74,4200
Plot  Area,Ready To Move,Laxminarayana Layout,4,1584,3,2,145,9154.04
Super built-up  Area,Ready To Move,Marathahalli,3,1785,3,2,94,5266.11
Super built-up  Area,Ready To Move,Koramangala,3,2292,3,2,286,12478.18
Super built-up  Area,Ready To Move,Kothanur,3,1460,3,3,71,4863.01
Super built-up  Area,Ready To Move,Kasturi Nagar,3,1500,2,3,80,5333.33
Plot  Area,Ready To Move,Yelahanka,5,1200,4,1,140,11666.67
Built-up  Area,Ready To Move,Sanjay nagar,5,3300,3,0,250,7575.76
Super built-up  Area,Ready To Move,Chikkalasandra,2,1230,2,2,48,3902.44
Super built-up  Area,Ready To Move,Yelahanka New Town,1,650,1,1,20,3076.92
Super built-up  Area,Ready To Move,Benson Town,2,1480,2,0,120,8108.11
Super built-up  Area,Ready To Move,Thanisandra,2,1220,2,1,43.92,3600
Super built-up  Area,Ready To Move,Dooravani Nagar,3,1570,3,1,115,7324.84
Built-up  Area,Ready To Move,Sadashiva Nagar,3,3000,3,3,400,13333.33
Super built-up  Area,Ready To Move,Mallasandra,3,1665,3,2,86.91,5219.82
Plot  Area,Ready To Move,Banagiri Nagar,3,1350,3,1,380,28148.15
Plot  Area,Ready To Move,Sarjapur  Road,4,4000,5,2,600,15000
Plot  Area,Ready To Move,Ramamurthy Nagar,2,1100,2,0,68,6181.82
Super built-up  Area,Ready To Move,Kathriguppe,3,1350,2,1,87.01,6445.19
Built-up  Area,Ready To Move,Kasavanhalli,3,1719,3,2,116,6748.11
Super built-up  Area,Ready To Move,Budigere,1,664,1,1,35,5271.08
Super built-up  Area,18-Dec,Sonnenahalli,2,1011,2,1,50.53,4998.02
Built-up  Area,Ready To Move,Akshya Nagar,6,2400,6,0,130,5416.67
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3,1680,3,2,85,5059.52
Super built-up  Area,Ready To Move,Yeshwanthpur,2,717,2,0,49.475,6900.28
Plot  Area,Ready To Move,Thyagaraja Nagar,4,700,4,2,110,15714.29
Super built-up  Area,Ready To Move,Whitefield,3,1520,2,2,150,9868.42
Carpet  Area,Ready To Move,Uttarahalli,3,1350,2,2,53,3925.93
Super built-up  Area,15-Nov,Kothanur,3,1760,3,0,150,8522.73
Super built-up  Area,Ready To Move,Pattandur Agrahara,2,875,2,1,33,3771.43
Super built-up  Area,Ready To Move,Hennur,2,1231,2,2,48,3899.27
Super built-up  Area,Ready To Move,Somasundara Palya,2,1174,2,3,74,6303.24
Built-up  Area,Ready To Move,Munnekollal,3,1560,3,3,75,4807.69
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,2,1464,2,2,56,3825.14
Plot  Area,Ready To Move,Kanakpura Road,3,2200,3,2,130,5909.09
Built-up  Area,Ready To Move,Shivaji Nagar,2,850,2,2,55,6470.59
Built-up  Area,Ready To Move,Sahyadri Layout,3,1750,3,1,180,10285.71
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,2024,3,0,157,7756.92
Plot  Area,Ready To Move,Mathikere SBM colony,2,1500,1,0,160,10666.67
Plot  Area,Ready To Move,"white field,kadugodi",6,2100,6,0,275,13095.24
Super built-up  Area,Ready To Move,Kodihalli,3,2408,4,2,260,10797.34
Super built-up  Area,Ready To Move,Devanahalli,2,1080,2,1,44,4074.07
Super built-up  Area,Ready To Move,Indira Nagar,3,2070,3,2,225,10869.57
Built-up  Area,18-Dec,Electronic City,2,1020,2,1,29.46,2888.24
Super built-up  Area,Ready To Move,Begur Road,3,1500,2,3,55,3666.67
Plot  Area,Ready To Move,Mahalakshmi Layout,4,1575,5,1,158,10031.75
Plot  Area,Ready To Move,Kodichikkanahalli,4,3250,4,1,180,5538.46
Super built-up  Area,Ready To Move,Uttarahalli,2,1175,2,1,47,4000
Super built-up  Area,Ready To Move,Channasandra,2,1030,2,1,34.5,3349.51
Super built-up  Area,18-Jul,Hebbal,2,1440,2,1,115,7986.11
Built-up  Area,Ready To Move,Hoodi,2,1500,2,1,84,5600
Plot  Area,Ready To Move,Thanisandra,1,1380,1,1,62.1,4500
Built-up  Area,Ready To Move,Bagalur,2,1200,2,3,50,4166.67
Built-up  Area,Ready To Move,Vinayak Nagar,1,705,1,2,36.5,5177.3
Super built-up  Area,Ready To Move,Harlur,3,2240,5,2,155,6919.64
Super built-up  Area,Ready To Move,Hegde Nagar,3,1584.01,3,1,103,6502.48
Super built-up  Area,Ready To Move,P Krishnappa Layout,3,1340,3,3,77,5746.27
Super built-up  Area,Ready To Move,Green Garden Layout,3,1800,3,2,70,3888.89
Super built-up  Area,Ready To Move,R.T. Nagar,2,1200,2,3,45,3750
Super built-up  Area,18-Nov,Sarjapur  Road,1,685,1,1,40,5839.42
Super built-up  Area,Ready To Move,Kalkere,2,925,2,3,42,4540.54
Super built-up  Area,Ready To Move,Crimson Layout,2,1230,2,2,57,4634.15
Plot  Area,Ready To Move,Manjunath Nagar,5,1200,5,1,185,15416.67
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,1125,2,1,52,4622.22
Super built-up  Area,Ready To Move,Hebbal,2,1100,2,1,54,4909.09
Plot  Area,18-Aug,Jigani,3,2400,3,2,149,6208.33
Super built-up  Area,18-Jul,Electronic City Phase II,3,1400,2,2,41.58,2970
Plot  Area,Ready To Move,Uttarahalli,7,1200,7,2,225,18750
Super built-up  Area,Ready To Move,Jakkur,3,1858,3,1,98.3,5290.64
Plot  Area,Ready To Move,Adityanagar,1,1260,1,1,41,3253.97
Built-up  Area,Ready To Move,Ambedkar Nagar,4,3530,4,2,290,8215.3
Super built-up  Area,Ready To Move,HSR Layout,2,1185,2,2,60,5063.29
Plot  Area,Ready To Move,RMV 2nd Stage,2,1200,2,1,216,18000
Super built-up  Area,Ready To Move,Hennur,2,1255,2,1,58,4621.51
Super built-up  Area,Ready To Move,Rajaji Nagar,4,3436,6,3,475,13824.21
Built-up  Area,Ready To Move,Kudlu Gate,3,1335,3,2,89,6666.67
Super built-up  Area,Ready To Move,Dodda Nekkundi,3,1999,3,2,132,6603.3
Plot  Area,Ready To Move,Kanaka Nagar,2,1200,2,1,125,10416.67
Super built-up  Area,Ready To Move,Kundalahalli,3,1397,3,2,110,7874.02
Plot  Area,Ready To Move,Jigani,10,1200,10,0,105,8750
Super built-up  Area,Ready To Move,Cooke Town,4,3950,4,0,450,11392.41
Plot  Area,Ready To Move,Yelahanka New Town,2,1200,2,1,130,10833.33
Plot  Area,Ready To Move,Chikka Tirupathi,3,1616,3,0,95,5878.71
Plot  Area,Ready To Move,Banashankari Stage III,8,1200,7,2,350,29166.67
Built-up  Area,Ready To Move,Hanumantha Nagar,4,1270,2,1,175,13779.53
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1140,2,2,38.55,3381.58
Super built-up  Area,21-Jan,Kanakpura Road,1,525,1,1,30,5714.29
Plot  Area,Ready To Move,Varthur,3,1200,2,1,98,8166.67
Built-up  Area,Ready To Move,Bagalakunte,1,700,1,1,162,23142.86
Super built-up  Area,18-Jul,Balagere,2,1205.47,2,1,81,6719.37
Plot  Area,Ready To Move,T Dasarahalli,3,1200,3,2,130,10833.33
Super built-up  Area,Ready To Move,Electronic City,3,1700,3,2,75,4411.76
Plot  Area,Ready To Move,Thanisandra,5,750,4,0,62,8266.67
Super built-up  Area,21-May,Kanakpura Road,2,1090,2,1,54.54,5003.67
Super built-up  Area,Ready To Move,Yeshwanthpur,4,3600,5,0,220,6111.11
Built-up  Area,Ready To Move,Kundalahalli,1,2400,1,0,650,27083.33
Super built-up  Area,19-Mar,Thanisandra,1,923,1,1,60.84,6591.55
Super built-up  Area,18-May,Muthurayya Swamy Layout,4,3595,6,2,360,10013.91
Super built-up  Area,Ready To Move,Green Glen Layout,2,1050,2,2,48,4571.43
Super built-up  Area,Ready To Move,Whitefield,2,1495,2,2,79.5,5317.73
Built-up  Area,Ready To Move,Narayanapura,3,1485,3,2,85,5723.91
Super built-up  Area,19-Dec,Dommasandra,3,1033,2,2,31.5,3049.37
Super built-up  Area,Ready To Move,Electronic City,3,1400,2,1,48,3428.57
Built-up  Area,Ready To Move,Indira Nagar,1,500,1,0,70,14000
Super built-up  Area,Ready To Move,Sarjapur  Road,2,944,2,1,35,3707.63
Built-up  Area,Ready To Move,Whitefield,5,3250,5,0,290,8923.08
Super built-up  Area,19-Mar,Whitefield,2,1216,2,1,66.48,5467.11
Super built-up  Area,Ready To Move,Thirumenahalli,2,1100,2,1,39.5,3590.91
Super built-up  Area,Ready To Move,Thanisandra,3,1743,3,2,93.25,5349.97
Super built-up  Area,Ready To Move,Yelahanka,2,1274,2,2,48.42,3800.63
Super built-up  Area,Ready To Move,Lavelle Road,3,2500,3,2,425,17000
Super built-up  Area,Ready To Move,Mysore Road,3,1512,2,2,110,7275.13
Super built-up  Area,Ready To Move,Dollars Colony,4,3100,5,1,385,12419.35
Super built-up  Area,Ready To Move,Cox Town,3,1650,3,3,100,6060.61
Built-up  Area,Ready To Move,Doddathoguru,3,1875,3,1,55,2933.33
Built-up  Area,Ready To Move,Whitefield,3,1350,3,2,54,4000
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2,1219,2,2,40,3281.38
Plot  Area,Ready To Move,Goraguntepalya,4,1200,4,1,150,12500
Plot  Area,Ready To Move,Sarjapura - Attibele Road,3,2400,3,3,85,3541.67
Super built-up  Area,Ready To Move,Hormavu,2,1141,2,1,44.4,3891.32
Super built-up  Area,Ready To Move,Anandapura,2,1151,2,1,43.1,3744.57
Plot  Area,Ready To Move,Bommenahalli,3,832,3,1,77,9254.81
Super built-up  Area,Ready To Move,Sarjapur  Road,2,915,2,1,38,4153.01
Plot  Area,Ready To Move,Rajankunte,3,3259,3,0,270,8284.75
Super built-up  Area,22-Dec,Bannerghatta Road,2,1115,2,1,65.12,5840.36
Super built-up  Area,Ready To Move,Thigalarapalya,3,2072,4,2,139,6708.49
Super built-up  Area,Ready To Move,Kaggadasapura,2,1200,2,2,53,4416.67
Super built-up  Area,Ready To Move,Singasandra,2,1300,2,2,65,5000
Super built-up  Area,Ready To Move,Bellandur,2,1457,2,2,85,5833.91
Super built-up  Area,Ready To Move,Kannamangala,2,1262,2,2,55,4358.16
Plot  Area,Ready To Move,BEML Layout,4,1196,3,1,150,12541.81
Super built-up  Area,18-Aug,Ananth Nagar,2,900,2,2,22.5,2500
Built-up  Area,Ready To Move,Attibele,1,420,1,1,17,4047.62
Super built-up  Area,Ready To Move,Kanakapura,2,1160,2,1,46.39,3999.14
Super built-up  Area,Ready To Move,Kasavanhalli,2,1115,2,2,50,4484.3
Built-up  Area,Ready To Move,JP Nagar,3,1315,2,1,85.4,6494.3
Built-up  Area,Ready To Move,Babusapalaya,2,1500,2,2,57,3800
Super built-up  Area,Ready To Move,HSR Layout,2,1127,2,1,68,6033.72
Super built-up  Area,18-Feb,Kundalahalli,3,1397,3,2,104,7444.52
Built-up  Area,20-Dec,Whitefield,2,1173,2,1,60,5115.09
Super built-up  Area,Ready To Move,Sompura,2,1090,2,2,28,2568.81
Super built-up  Area,Ready To Move,Sarjapur  Road,3,2720,5,0,210,7720.59
Super built-up  Area,18-May,Jakkur,2,1230,2,1,76,6178.86
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,4,3200,3,3,190,5937.5
Super built-up  Area,19-Dec,Sarjapur  Road,2,858,2,1,31.57,3679.49
Super built-up  Area,21-Mar,Talaghattapura,3,1868,3,1,121,6477.52
Super built-up  Area,Ready To Move,Uttarahalli,3,1689.28,3,2,91.2,5398.75
Built-up  Area,Ready To Move,Vishwapriya Layout,4,600,3,2,73,12166.67
Super built-up  Area,Ready To Move,Banashankari,3,1425,3,3,49.88,3500.35
Plot  Area,Ready To Move,Subramanyapura,6,1200,6,2,170,14166.67
Plot  Area,Ready To Move,Tindlu,2,1350,2,1,100,7407.41
Built-up  Area,Ready To Move,Channasandra,6,4200,6,0,180,4285.71
Super built-up  Area,Ready To Move,Uttarahalli,3,1310,2,1,85,6488.55
Super built-up  Area,Ready To Move,MLA Layout,2,970,2,1,40,4123.71
Super built-up  Area,18-May,Kundalahalli,3,1397,3,3,108,7730.85
Super built-up  Area,18-Jul,Sarjapur,2,1157,2,1,40,3457.22
Super built-up  Area,Ready To Move,Kasavanhalli,2,1125,2,1,61.2,5440
Super built-up  Area,Ready To Move,Sonnenahalli,2,1157,2,1,42,3630.08
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1241,2,1,82,6607.57
Super built-up  Area,19-Dec,Binny Pete,1,660,1,1,62,9393.94
Built-up  Area,Ready To Move,Marathahalli,4,4000,4,3,220,5500
Super built-up  Area,Ready To Move,Rajiv Nagar,4,2340,4,1,148,6324.79
Built-up  Area,Ready To Move,Venkatadri Layout,1,596,1,1,42,7046.98
Plot  Area,Ready To Move,Kyalasanahalli,4,1200,4,3,110,9166.67
Super built-up  Area,Ready To Move,Ambedkar Colony,3,1910,3,1,190,9947.64
Super built-up  Area,Ready To Move,Brookefield,2,1139,2,2,80,7023.71
Super built-up  Area,Ready To Move,Thigalarapalya,4,3122,5,2,225,7206.92
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2,1033,2,2,28.41,2750.24
Super built-up  Area,Ready To Move,Yeshwanthpur,2,1168,2,2,64.08,5486.3
Super built-up  Area,Ready To Move,Chandapura,2,877,2,3,42,4789.05
Built-up  Area,18-Jul,Electronics City Phase 1,2,1340,2,2,75,5597.01
Built-up  Area,Ready To Move,B Narayanapura,3,1405,2,2,70,4982.21
Super built-up  Area,Ready To Move,Siddapura,3,1800,3,3,65,3611.11
Built-up  Area,Ready To Move,Devarabeesana Halli,3,1750,3,3,149,8514.29
Super built-up  Area,Ready To Move,Motappa Layout,3,1360,2,1,65,4779.41
Plot  Area,Ready To Move,Malleshwaram,3,675,2,0,148,21925.93
Super built-up  Area,19-Jun,Byrasandra,2,985,2,1,63,6395.94
Super built-up  Area,16-Jul,Victoria Layout,2,1300,2,1,129,9923.08
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1850,3,2,150,8108.11
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3,1490,2,3,88,5906.04
Super built-up  Area,Ready To Move,Byagadadhenahalli,2,620,1,1,25,4032.26
Super built-up  Area,19-Aug,Hormavu,2,1130,2,1,42.3,3743.36
Super built-up  Area,Ready To Move,Yelachenahalli,2,1080,2,2,55,5092.59
Built-up  Area,Ready To Move,Singasandra,4,3126,4,0,120,3838.77
Super built-up  Area,Ready To Move,Begur Road,3,1410,2,3,52.17,3700
Super built-up  Area,Ready To Move,Bommanahalli,3,1375,3,2,59,4290.91
Super built-up  Area,Ready To Move,Hennur Road,3,1290,2,1,94.5,7325.58
Super built-up  Area,19-Mar,Hosa Road,3,1318,2,1,85.28,6470.41
Super built-up  Area,Ready To Move,Electronic City,2,1128,2,1,68,6028.37
Plot  Area,Ready To Move,Meenakunte,4,4428,4,2,255,5758.81
Super built-up  Area,21-Mar,Kanakpura Road,2,1051,2,2,56.74,5398.67
Plot  Area,Ready To Move,Kengeri,3,3500,5,0,275,7857.14
Plot  Area,Ready To Move,Kannamangala,4,2400,4,1,130,5416.67
Super built-up  Area,Ready To Move,Yelahanka,2,1327,2,3,85,6405.43
Super built-up  Area,Ready To Move,Thigalarapalya,4,2912,6,2,210,7211.54
Super built-up  Area,Ready To Move,Basapura,2,1301,2,2,55,4227.52
Super built-up  Area,Ready To Move,Thippasandra,1,650,1,0,30,4615.38
Plot  Area,18-Jul,Varthur,3,1200,3,1,67.75,5645.83
Super built-up  Area,Ready To Move,Banagiri Nagar,3,1500,2,2,89.99,5999.33
Plot  Area,Ready To Move,Kumara Park,4,2700,6,0,675,25000
Plot  Area,Ready To Move,Nagadevanahalli,4,1350,4,2,145,10740.74
Built-up  Area,18-Aug,Electronic City Phase II,2,1000,2,1,28.88,2888
Super built-up  Area,19-Nov,Sarjapur  Road,2,984,2,1,45.91,4665.65
Super built-up  Area,22-May,Jakkur,3,1819.18,3,1,160,8795.17
Built-up  Area,Ready To Move,Nagarbhavi,1,900,1,0,175,19444.44
Super built-up  Area,18-Apr,Hebbal,3,1355,3,1,83.87,6189.67
Super built-up  Area,Ready To Move,Sarakki Nagar,3,2145,4,1,270,12587.41
Super built-up  Area,Ready To Move,Malleshwaram,3,2475,4,3,300,12121.21
Super built-up  Area,18-Aug,Kaggadasapura,2,1118,2,0,30,2683.36
Super built-up  Area,Ready To Move,Roopena Agrahara,1,910,1,1,42,4615.38
Super built-up  Area,18-May,Madiwala,3,1250,3,2,39,3120
Super built-up  Area,18-Mar,Hosakerehalli,2,1304,2,3,100,7668.71
Super built-up  Area,Ready To Move,Begur Road,3,1615,3,2,58,3591.33
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1400,2,2,68,4857.14
Super built-up  Area,Ready To Move,CV Raman Nagar,2,1070,2,2,47.5,4439.25
Super built-up  Area,17-Nov,Hebbal,3,3500,3,3,395,11285.71
Super built-up  Area,22-Jun,Hoodi,2,1132,2,1,89.37,7894.88
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,3,2000,3,2,85,4250
Plot  Area,Ready To Move,Hebbal,7,2400,5,1,550,22916.67
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1,794,1,2,65,8186.4
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1090,2,2,43.59,3999.08
Super built-up  Area,Ready To Move,Gottigere,3,1500,3,2,70,4666.67
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3,2059,3,2,225,10927.63
Super built-up  Area,21-Jan,Kanakpura Road,1,525,1,1,30,5714.29
Super built-up  Area,18-May,Bhoganhalli,2,1447,2,1,75.97,5250.17
Super built-up  Area,20-Dec,Whitefield,2,1269,2,1,75,5910.17
Plot  Area,18-Apr,KR Layout,4,4800,4,0,700,14583.33
Super built-up  Area,Ready To Move,Kanakpura Road,2,1070,2,2,37.45,3500
Super built-up  Area,Ready To Move,Talaghattapura,2,1150,2,0,28,2434.78
Super built-up  Area,Ready To Move,Marathahalli,2,1208,2,2,70,5794.7
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2,1185,2,1,45.5,3839.66
Plot  Area,Ready To Move,Laggere,3,1200,3,1,130,10833.33
Super built-up  Area,Ready To Move,Anekal,2,888,2,1,34,3828.83
Super built-up  Area,18-Aug,Chandapura,2,1015,2,2,25.88,2549.75
Built-up  Area,Ready To Move,Celebrity Paradise Layout,1,532,1,1,22.49,4227.44
Super built-up  Area,Ready To Move,St Thomas Town,3,1060,3,1,62,5849.06
Built-up  Area,Ready To Move,Electronic City,1,700,1,1,35,5000
Super built-up  Area,Ready To Move,Ckikkakammana Halli,2,902,2,2,42,4656.32
Plot  Area,Ready To Move,Banashankari 2nd Stage,6,600,3,3,95,15833.33
Super built-up  Area,Ready To Move,Uttarahalli,2,1175,2,1,47,4000
Super built-up  Area,19-Dec,Binny Pete,2,1365,2,1,122,8937.73
Super built-up  Area,Ready To Move,Doddathoguru,2,984,2,1,51,5182.93
Plot  Area,Ready To Move,Hebbal,4,2700,2,2,100,3703.7
Super built-up  Area,Ready To Move,Jalahalli East,3,1475,3,2,96,6508.47
Super built-up  Area,Ready To Move,Haralur Road,2,1300,2,2,79,6076.92
Plot  Area,Ready To Move,5th Block Hbr Layout,5,1200,6,1,220,18333.33
Built-up  Area,Ready To Move,Babusapalaya,3,1453,2,2,43.59,3000
Super built-up  Area,Ready To Move,Munivenkatppa Layout,2,1550,2,3,160,10322.58
Built-up  Area,Ready To Move,Akshaya Nagar,3,1666,3,0,95,5702.28
Plot  Area,Ready To Move,Akshaya Nagar,4,1410,4,2,160,11347.52
Plot  Area,18-Mar,Yelahanka,4,4025,5,3,800,19875.78
Super built-up  Area,Ready To Move,Murugeshpalya,3,1845,3,3,91,4932.25
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1676,3,3,52,3102.63
Super built-up  Area,20-Dec,Uttarahalli,2,1137,2,1,63,5540.9
Super built-up  Area,Ready To Move,Electronic City,3,1360,2,1,70.5,5183.82
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3,1374,2,2,70,5094.61
Built-up  Area,Ready To Move,Judicial Layout,3,1700,3,2,155,9117.65
Plot  Area,Ready To Move,Whitefield,5,3227,5,0,250,7747.13
Super built-up  Area,Ready To Move,Ferrar Nagar,4,2145,4,0,125,5827.51
Plot  Area,Ready To Move,Koramangala,4,2400,6,3,600,25000
Super built-up  Area,18-May,Kasavanhalli,3,2170,3,2,151,6958.53
Built-up  Area,Ready To Move,Bank Of Baroda Colony,2,1080,2,1,55,5092.59
Built-up  Area,Ready To Move,Electronic City Phase II,3,1790,3,3,100,5586.59
Super built-up  Area,Ready To Move,Doddathoguru,1,550,1,1,17,3090.91
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,1270,2,2,50.79,3999.21
Built-up  Area,Ready To Move,Somasundara Palya,2,1033,2,2,48,4646.66
Built-up  Area,Ready To Move,Kamala Nagar,2,1000,2,1,80,8000
Super built-up  Area,19-Dec,Binny Pete,4,2940,6,2,280,9523.81
Super built-up  Area,Ready To Move,Kumarapalli,2,1240,2,2,52.6,4241.94
Plot  Area,Ready To Move,Kasturi Nagar,5,1650,5,1,450,27272.73
Super built-up  Area,Ready To Move,Kambipura,2,883,2,1,39,4416.76
Built-up  Area,15-Jun,Outer Ring Road East,3,1500,2,0,97,6466.67
Super built-up  Area,Ready To Move,Marathahalli,3,1730,3,3,139,8034.68
Super built-up  Area,Ready To Move,Kasavanhalli,3,1915,3,3,80,4177.55
Super built-up  Area,Ready To Move,Whitefield,3,1545,3,2,79,5113.27
